step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.33446,0.43208,0.11509,0.2496,0.286,0.38428,0.0218,0.49728
1,,0.18446,0.28208,-0.03491,0.0996,0.136,0.23428,-0.1282,0.34728
2,7,0.43446,0.32008,-0.08491,0.1376,0.386,0.69628,0.8718,0.80928
3,7,0.68446,0.35808,-0.13491,0.1756,0.636,1.0,1.0,1.0
4,3,0.93446,0.82008,0.86509,0.6376,0.886,1.0,0.95,1.0
5,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
6,,0.85,0.85,0.85,0.85,0.85,0.85,0.75,0.85
7,,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7
8,,0.55,0.55,0.55,0.55,0.55,0.55,0.45,0.55
9,,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4
10,,0.25,0.25,0.25,0.25,0.25,0.25,0.15,0.25
11,,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1
12,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.15,-0.05
13,7,0.2,-0.012,-0.1,-0.012,0.2,0.412,0.85,0.412
14,7,0.45,0.026,-0.15,0.026,0.45,0.874,1.0,0.874
15,3,0.7,0.488,0.85,0.488,0.7,0.912,0.95,0.912
16,3,0.95,0.95,1.0,0.95,0.95,0.95,0.9,0.95
17,,0.8,0.8,0.85,0.8,0.8,0.8,0.75,0.8
18,,0.65,0.65,0.7,0.65,0.65,0.65,0.6,0.65
19,,0.5,0.5,0.55,0.5,0.5,0.5,0.45,0.5
20,,0.35,0.35,0.4,0.35,0.35,0.35,0.3,0.35
21,,0.2,0.2,0.25,0.2,0.2,0.2,0.15,0.2
22,,0.05,0.05,0.1,0.05,0.05,0.05,0.0,0.05
23,,-0.1,-0.1,-0.05,-0.1,-0.1,-0.1,-0.15,-0.1
24,7,0.15,-0.062,-0.1,-0.062,0.15,0.362,0.85,0.362
25,7,0.4,-0.024,-0.15,-0.024,0.4,0.824,1.0,0.824
26,3,0.65,0.438,0.85,0.438,0.65,0.862,0.95,0.862
27,3,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9
28,,0.75,0.75,0.85,0.75,0.75,0.75,0.75,0.75
29,,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6
30,,0.45,0.45,0.55,0.45,0.45,0.45,0.45,0.45
31,,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3
32,,0.15,0.15,0.25,0.15,0.15,0.15,0.15,0.15
33,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
34,,-0.15,-0.15,-0.05,-0.15,-0.15,-0.15,-0.15,-0.15
35,7,0.1,-0.112,-0.1,-0.112,0.1,0.312,0.85,0.312
36,7,0.35,-0.074,-0.15,-0.074,0.35,0.774,1.0,0.774
37,3,0.6,0.388,0.85,0.388,0.6,0.812,0.95,0.812
38,3,0.85,0.85,1.0,0.85,0.85,0.85,0.9,0.85
39,,0.7,0.7,0.85,0.7,0.7,0.7,0.75,0.7
40,,0.55,0.55,0.7,0.55,0.55,0.55,0.6,0.55
41,,0.4,0.4,0.55,0.4,0.4,0.4,0.45,0.4
42,,0.25,0.25,0.4,0.25,0.25,0.25,0.3,0.25
43,,0.1,0.1,0.25,0.1,0.1,0.1,0.15,0.1
44,,-0.05,-0.05,0.1,-0.05,-0.05,-0.05,0.0,-0.05
45,6,-0.012,-0.1,0.138,0.2,0.412,0.95,0.462,0.2
46,6,0.026,-0.15,0.176,0.45,0.874,1.0,0.924,0.45
47,2,0.488,0.85,0.638,0.7,0.912,0.95,0.962,0.7
48,2,0.95,1.0,1.0,0.95,0.95,0.9,1.0,0.95
49,,0.8,0.85,0.85,0.8,0.8,0.75,0.85,0.8
50,,0.65,0.7,0.7,0.65,0.65,0.6,0.7,0.65
