step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.07352,0.02091,0.05414,0.06958,0.02286,0.0175,0.09822,0.05166
1,,-0.42648,-0.47909,-0.44586,-0.43042,-0.47714,-0.4825,-0.40178,-0.44834
2,6,-0.99748,-1.0,-1.0,-0.93042,-0.90614,0.5175,-0.83078,-0.94834
3,6,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
4,1,0.0,-1.0,-1.0,-1.0,-1.0,0.429,-1.0,-1.0
5,1,1.0,-1.0,-1.0,-1.0,-1.0,-0.142,-1.0,-1.0
6,3,0.5,-1.0,0.0,-1.0,-1.0,-0.713,-1.0,-1.0
7,3,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,2,-0.429,0.0,0.571,-1.0,-1.0,-1.0,-1.0,-1.0
9,2,-0.858,1.0,0.142,-1.0,-1.0,-1.0,-1.0,-1.0
10,7,-1.0,0.429,-0.458,-1.0,-1.0,-1.0,0.0,-1.0
11,7,-1.0,-0.142,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
12,6,-1.0,-0.742,-1.0,-1.0,-1.0,0.0,0.571,-1.0
13,6,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.142,-1.0
14,5,-1.0,-1.0,-1.0,-1.0,0.0,0.571,-0.358,-1.0
15,5,-1.0,-1.0,-1.0,-1.0,1.0,0.142,-0.858,-1.0
16,3,-1.0,-1.0,0.0,-1.0,0.5,-0.429,-1.0,-1.0
17,3,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0
18,1,0.0,-1.0,0.5,-1.0,-0.6,-1.0,-1.0,-1.0
19,1,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,2,0.571,0.0,-0.429,-1.0,-1.0,-1.0,-1.0,-1.0
21,2,0.142,1.0,-0.858,-1.0,-1.0,-1.0,-1.0,-1.0
22,6,-0.429,0.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
23,6,-1.0,-0.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
24,4,-1.0,-0.7,-1.0,0.0,-1.0,0.5,-1.0,-1.0
25,4,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0
26,3,-1.0,-1.0,0.0,0.571,-1.0,-0.571,-1.0,-1.0
27,3,-1.0,-1.0,1.0,0.142,-1.0,-1.0,-1.0,-1.0
28,6,-1.0,-1.0,0.429,-0.358,-1.0,0.0,-1.0,-1.0
29,6,-1.0,-1.0,-0.142,-0.858,-1.0,1.0,-1.0,-1.0
30,1,0.0,-1.0,-0.642,-1.0,-1.0,0.429,-1.0,-1.0
31,1,1.0,-1.0,-1.0,-1.0,-1.0,-0.142,-1.0,-1.0
32,5,0.4,-1.0,-1.0,-1.0,0.0,-0.571,-1.0,-1.0
33,5,-0.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
34,4,-0.771,-1.0,-1.0,0.0,0.571,-1.0,-1.0,-1.0
35,4,-1.0,-1.0,-1.0,1.0,0.142,-1.0,-1.0,-1.0
36,1,0.0,-1.0,-1.0,0.429,-0.458,-1.0,-1.0,-1.0
37,1,1.0,-1.0,-1.0,-0.142,-1.0,-1.0,-1.0,-1.0
38,6,0.429,-1.0,-1.0,-0.642,-1.0,0.0,-1.0,-1.0
39,6,-0.142,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
40,8,-0.571,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.0
41,8,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0
42,4,-1.0,-1.0,-1.0,0.0,-1.0,-0.5,-1.0,0.4
43,4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.2
44,7,-1.0,-1.0,-1.0,0.429,-1.0,-1.0,0.0,-0.629
45,7,-1.0,-1.0,-1.0,-0.142,-1.0,-1.0,1.0,-1.0
46,3,-1.0,-1.0,0.0,-0.571,-1.0,-1.0,0.4,-1.0
47,3,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.2,-1.0
48,8,-1.0,-1.0,0.429,-1.0,-1.0,-1.0,-0.629,0.0
49,8,-1.0,-1.0,-0.142,-1.0,-1.0,-1.0,-1.0,1.0
50,1,0.0,-1.0,-0.642,-1.0,-1.0,-1.0,-1.0,0.571
51,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.142
52,4,0.429,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.458
53,4,-0.142,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
54,2,-0.571,0.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0
55,2,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
56,7,-1.0,0.429,-1.0,-0.571,-1.0,-1.0,0.0,-1.0
57,7,-1.0,-0.142,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
58,3,-1.0,-0.571,0.0,-1.0,-1.0,-1.0,0.4,-1.0
59,3,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.2,-1.0
60,8,-1.0,-1.0,0.429,-1.0,-1.0,-1.0,-0.629,0.0
61,8,-1.0,-1.0,-0.142,-1.0,-1.0,-1.0,-1.0,1.0
62,2,-1.0,0.0,-0.571,-1.0,-1.0,-1.0,-1.0,0.5
63,2,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
64,3,-1.0,0.571,0.0,-1.0,-1.0,-1.0,-1.0,-0.571
65,3,-1.0,0.142,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66,8,-1.0,-0.358,0.429,-1.0,-1.0,-1.0,-1.0,0.0
67,8,-1.0,-0.858,-0.142,-1.0,-1.0,-1.0,-1.0,1.0
68,5,-1.0,-1.0,-0.642,-1.0,0.0,-1.0,-1.0,0.429
69,5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.142
70,6,-1.0,-1.0,-1.0,-1.0,0.571,0.0,-1.0,-0.642
71,6,-1.0,-1.0,-1.0,-1.0,0.142,1.0,-1.0,-1.0
72,1,0.0,-1.0,-1.0,-1.0,-0.458,0.429,-1.0,-1.0
73,1,1.0,-1.0,-1.0,-1.0,-1.0,-0.142,-1.0,-1.0
74,5,0.4,-1.0,-1.0,-1.0,0.0,-0.571,-1.0,-1.0
75,5,-0.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
76,2,-0.629,0.0,-1.0,-1.0,0.429,-1.0,-1.0,-1.0
77,2,-1.0,1.0,-1.0,-1.0,-0.142,-1.0,-1.0,-1.0
78,6,-1.0,0.4,-1.0,-1.0,-0.571,0.0,-1.0,-1.0
79,6,-1.0,-0.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
80,1,0.0,-0.629,-1.0,-1.0,-1.0,0.429,-1.0,-1.0
81,1,1.0,-1.0,-1.0,-1.0,-1.0,-0.142,-1.0,-1.0
82,8,0.571,-1.0,-1.0,-1.0,-1.0,-0.642,-1.0,0.0
83,8,0.142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
84,6,-0.429,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.5
85,6,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0
86,4,-1.0,-1.0,-1.0,0.0,-1.0,0.5,-1.0,-0.6
87,4,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0
88,3,-1.0,-1.0,0.0,0.571,-1.0,-0.571,-1.0,-1.0
89,3,-1.0,-1.0,1.0,0.142,-1.0,-1.0,-1.0,-1.0
90,1,0.0,-1.0,0.5,-0.429,-1.0,-1.0,-1.0,-1.0
91,1,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
92,2,0.571,0.0,-0.429,-1.0,-1.0,-1.0,-1.0,-1.0
93,2,0.142,1.0,-0.858,-1.0,-1.0,-1.0,-1.0,-1.0
94,7,-0.358,0.429,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
95,7,-0.858,-0.142,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
96,5,-1.0,-0.713,-1.0,-1.0,0.0,-1.0,0.5,-1.0
97,5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0
98,3,-1.0,-1.0,0.0,-1.0,0.5,-1.0,-0.6,-1.0
99,3,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0
100,8,-1.0,-1.0,0.429,-1.0,-0.571,-1.0,-1.0,0.0
101,8,-1.0,-1.0,-0.142,-1.0,-1.0,-1.0,-1.0,1.0
102,7,-1.0,-1.0,-0.742,-1.0,-1.0,-1.0,0.0,0.571
103,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.142
104,6,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.571,-0.358
105,6,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.142,-0.858
106,5,-1.0,-1.0,-1.0,-1.0,0.0,0.571,-0.358,-1.0
107,5,-1.0,-1.0,-1.0,-1.0,1.0,0.142,-0.858,-1.0
108,3,-1.0,-1.0,0.0,-1.0,0.5,-0.429,-1.0,-1.0
109,3,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0
110,8,-1.0,-1.0,0.429,-1.0,-0.571,-1.0,-1.0,0.0
111,8,-1.0,-1.0,-0.142,-1.0,-1.0,-1.0,-1.0,1.0
112,4,-1.0,-1.0,-0.571,0.0,-1.0,-1.0,-1.0,0.4
113,4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.2
114,3,-1.0,-1.0,0.0,0.571,-1.0,-1.0,-1.0,-0.771
115,3,-1.0,-1.0,1.0,0.142,-1.0,-1.0,-1.0,-1.0
116,2,-1.0,0.0,0.571,-0.358,-1.0,-1.0,-1.0,-1.0
117,2,-1.0,1.0,0.142,-0.858,-1.0,-1.0,-1.0,-1.0
118,8,-1.0,0.5,-0.429,-1.0,-1.0,-1.0,-1.0,0.0
119,8,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
120,7,-1.0,-0.571,-1.0,-1.0,-1.0,-1.0,0.0,0.571
121,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.142
122,1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,-0.287
123,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.716
124,5,0.4,-1.0,-1.0,-1.0,0.0,-1.0,-0.5,-1.0
125,5,-0.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
126,2,-0.629,0.0,-1.0,-1.0,0.429,-1.0,-1.0,-1.0
127,2,-1.0,1.0,-1.0,-1.0,-0.142,-1.0,-1.0,-1.0
128,7,-1.0,0.429,-1.0,-1.0,-0.642,-1.0,0.0,-1.0
129,7,-1.0,-0.142,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
130,5,-1.0,-0.713,-1.0,-1.0,0.0,-1.0,0.5,-1.0
131,5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0
132,6,-1.0,-1.0,-1.0,-1.0,0.571,0.0,-0.429,-1.0
133,6,-1.0,-1.0,-1.0,-1.0,0.142,1.0,-0.858,-1.0
134,3,-1.0,-1.0,0.0,-1.0,-0.358,0.429,-1.0,-1.0
135,3,-1.0,-1.0,1.0,-1.0,-0.858,-0.142,-1.0,-1.0
136,7,-1.0,-1.0,0.4,-1.0,-1.0,-0.571,0.0,-1.0
137,7,-1.0,-1.0,-0.2,-1.0,-1.0,-1.0,1.0,-1.0
138,4,-1.0,-1.0,-0.629,0.0,-1.0,-1.0,0.429,-1.0
139,4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.142,-1.0
140,1,0.0,-1.0,-1.0,0.429,-1.0,-1.0,-0.642,-1.0
141,1,1.0,-1.0,-1.0,-0.142,-1.0,-1.0,-1.0,-1.0
142,2,0.571,0.0,-1.0,-0.642,-1.0,-1.0,-1.0,-1.0
143,2,0.142,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
144,6,-0.429,0.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
145,6,-1.0,-0.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
146,5,-1.0,-0.771,-1.0,-1.0,0.0,0.571,-1.0,-1.0
147,5,-1.0,-1.0,-1.0,-1.0,1.0,0.142,-1.0,-1.0
148,8,-1.0,-1.0,-1.0,-1.0,0.429,-0.358,-1.0,0.0
149,8,-1.0,-1.0,-1.0,-1.0,-0.142,-0.858,-1.0,1.0
150,7,-1.0,-1.0,-1.0,-1.0,-0.642,-1.0,0.0,0.571
151,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.142
152,6,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.571,-0.358
153,6,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.142,-0.858
154,5,-1.0,-1.0,-1.0,-1.0,0.0,0.571,-0.358,-1.0
155,5,-1.0,-1.0,-1.0,-1.0,1.0,0.142,-0.858,-1.0
156,3,-1.0,-1.0,0.0,-1.0,0.5,-0.429,-1.0,-1.0
157,3,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0
158,6,-1.0,-1.0,0.429,-1.0,-0.429,0.0,-1.0,-1.0
159,6,-1.0,-1.0,-0.142,-1.0,-0.858,1.0,-1.0,-1.0
160,1,0.0,-1.0,-0.642,-1.0,-1.0,0.429,-1.0,-1.0
161,1,1.0,-1.0,-1.0,-1.0,-1.0,-0.142,-1.0,-1.0
162,7,0.5,-1.0,-1.0,-1.0,-1.0,-0.571,0.0,-1.0
163,7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
164,6,-0.571,-1.0,-1.0,-1.0,-1.0,0.0,0.571,-1.0
165,6,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.142,-1.0
166,1,0.0,-1.0,-1.0,-1.0,-1.0,0.429,-0.358,-1.0
167,1,1.0,-1.0,-1.0,-1.0,-1.0,-0.142,-0.858,-1.0
168,8,0.571,-1.0,-1.0,-1.0,-1.0,-0.642,-1.0,0.0
169,8,0.142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
170,4,-0.429,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.4
171,4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.2
172,5,-1.0,-1.0,-1.0,0.571,0.0,-1.0,-1.0,-0.771
173,5,-1.0,-1.0,-1.0,0.142,1.0,-1.0,-1.0,-1.0
174,1,0.0,-1.0,-1.0,-0.429,0.4,-1.0,-1.0,-1.0
175,1,1.0,-1.0,-1.0,-1.0,-0.2,-1.0,-1.0,-1.0
176,6,0.429,-1.0,-1.0,-1.0,-0.629,0.0,-1.0,-1.0
177,6,-0.142,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
178,7,-0.642,-1.0,-1.0,-1.0,-1.0,0.571,0.0,-1.0
179,7,-1.0,-1.0,-1.0,-1.0,-1.0,0.142,1.0,-1.0
180,5,-1.0,-1.0,-1.0,-1.0,0.0,-0.287,0.5,-1.0
181,5,-1.0,-1.0,-1.0,-1.0,1.0,-0.716,0.0,-1.0
182,1,0.0,-1.0,-1.0,-1.0,0.4,-1.0,-0.5,-1.0
183,1,1.0,-1.0,-1.0,-1.0,-0.2,-1.0,-1.0,-1.0
184,4,0.429,-1.0,-1.0,0.0,-0.629,-1.0,-1.0,-1.0
185,4,-0.142,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
186,3,-0.642,-1.0,0.0,0.571,-1.0,-1.0,-1.0,-1.0
187,3,-1.0,-1.0,1.0,0.142,-1.0,-1.0,-1.0,-1.0
188,1,0.0,-1.0,0.5,-0.429,-1.0,-1.0,-1.0,-1.0
189,1,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
190,4,0.429,-1.0,-0.429,0.0,-1.0,-1.0,-1.0,-1.0
191,4,-0.142,-1.0,-0.858,1.0,-1.0,-1.0,-1.0,-1.0
192,5,-0.742,-1.0,-1.0,0.571,0.0,-1.0,-1.0,-1.0
193,5,-1.0,-1.0,-1.0,0.142,1.0,-1.0,-1.0,-1.0
194,3,-1.0,-1.0,0.0,-0.287,0.5,-1.0,-1.0,-1.0
195,3,-1.0,-1.0,1.0,-0.716,0.0,-1.0,-1.0,-1.0
196,2,-1.0,0.0,0.571,-1.0,-0.571,-1.0,-1.0,-1.0
197,2,-1.0,1.0,0.142,-1.0,-1.0,-1.0,-1.0,-1.0
198,8,-1.0,0.5,-0.429,-1.0,-1.0,-1.0,-1.0,0.0
199,8,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
200,3,-1.0,-0.429,0.0,-1.0,-1.0,-1.0,-1.0,0.429
201,3,-1.0,-0.858,1.0,-1.0,-1.0,-1.0,-1.0,-0.142
202,5,-1.0,-1.0,0.5,-1.0,0.0,-1.0,-1.0,-0.713
203,5,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0
204,2,-1.0,0.0,-0.429,-1.0,0.429,-1.0,-1.0,-1.0
205,2,-1.0,1.0,-0.858,-1.0,-0.142,-1.0,-1.0,-1.0
206,4,-1.0,0.5,-1.0,0.0,-0.571,-1.0,-1.0,-1.0
207,4,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
208,3,-1.0,-0.429,0.0,0.571,-1.0,-1.0,-1.0,-1.0
209,3,-1.0,-0.858,1.0,0.142,-1.0,-1.0,-1.0,-1.0
210,1,0.0,-1.0,0.5,-0.429,-1.0,-1.0,-1.0,-1.0
211,1,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
212,2,0.571,0.0,-0.429,-1.0,-1.0,-1.0,-1.0,-1.0
213,2,0.142,1.0,-0.858,-1.0,-1.0,-1.0,-1.0,-1.0
214,4,-0.429,0.5,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
215,4,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
216,5,-1.0,-0.571,-1.0,0.571,0.0,-1.0,-1.0,-1.0
217,5,-1.0,-1.0,-1.0,0.142,1.0,-1.0,-1.0,-1.0
218,8,-1.0,-1.0,-1.0,-0.458,0.429,-1.0,-1.0,0.0
219,8,-1.0,-1.0,-1.0,-1.0,-0.142,-1.0,-1.0,1.0
220,6,-1.0,-1.0,-1.0,-1.0,-0.571,0.0,-1.0,0.5
221,6,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0
222,2,-1.0,0.0,-1.0,-1.0,-1.0,0.4,-1.0,-0.5
223,2,-1.0,1.0,-1.0,-1.0,-1.0,-0.2,-1.0,-1.0
224,3,-1.0,0.571,0.0,-1.0,-1.0,-0.771,-1.0,-1.0
225,3,-1.0,0.142,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
226,5,-1.0,-0.429,0.5,-1.0,0.0,-1.0,-1.0,-1.0
227,5,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0
228,2,-1.0,0.0,-0.429,-1.0,0.429,-1.0,-1.0,-1.0
229,2,-1.0,1.0,-0.858,-1.0,-0.142,-1.0,-1.0,-1.0
230,1,0.0,0.571,-1.0,-1.0,-0.742,-1.0,-1.0,-1.0
231,1,1.0,0.142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
232,7,0.5,-0.429,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
