step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.37454,0.95071,0.73199,0.59866,0.15602,0.15599,0.05808,0.86618
1,,0.2599,0.80071,0.54663,0.39866,-0.02934,0.00599,-0.05656,0.76618
2,7,0.14526,0.65071,0.36127,0.19866,-0.2147,-0.14401,1.0,0.66618
3,5,0.03062,0.50071,0.17591,-0.00134,1.0,-0.09401,0.88536,0.56618
4,6,-0.08402,0.35071,-0.00945,-0.20134,0.81464,1.0,0.77072,0.46618
5,4,-0.19866,0.20071,-0.19481,1.0,0.62928,0.85,0.65608,0.36618
6,1,1.0,0.05071,-0.38017,0.8,0.44392,0.7,0.54144,0.26618
7,3,0.88536,-0.09929,1.0,0.6,0.25856,0.55,0.4268,0.16618
8,2,0.77072,1.0,0.81464,0.4,0.0732,0.4,0.31216,0.06618
9,,0.65608,0.85,0.62928,0.2,-0.11216,0.25,0.19752,-0.03382
10,5,0.54144,0.7,0.44392,0.0,1.0,0.3,0.08288,-0.13382
11,8,0.4268,0.55,0.25856,-0.2,0.81464,0.15,-0.03176,1.0
12,4,0.31216,0.4,0.0732,1.0,0.62928,0.0,-0.1464,0.9
13,7,0.19752,0.25,-0.11216,0.8,0.44392,-0.15,1.0,0.8
14,6,0.08288,0.1,-0.29752,0.6,0.25856,1.0,0.88536,0.7
15,3,-0.03176,-0.05,1.0,0.4,0.0732,0.85,0.77072,0.6
16,2,-0.1464,1.0,0.81464,0.2,-0.11216,0.7,0.65608,0.5
17,1,1.0,0.85,0.62928,0.0,-0.29752,0.55,0.54144,0.4
18,5,0.88536,0.7,0.44392,-0.2,1.0,0.6,0.4268,0.3
19,4,0.77072,0.55,0.25856,1.0,0.81464,0.45,0.31216,0.2
20,,0.65608,0.4,0.0732,0.8,0.62928,0.3,0.19752,0.1
21,,0.54144,0.25,-0.11216,0.6,0.44392,0.15,0.08288,0.0
22,3,0.4268,0.1,1.0,0.4,0.25856,0.0,-0.03176,-0.1
23,8,0.31216,-0.05,0.81464,0.2,0.0732,-0.15,-0.1464,1.0
24,6,0.19752,-0.2,0.62928,0.0,-0.11216,1.0,-0.26104,0.9
25,7,0.08288,-0.35,0.44392,-0.2,-0.29752,0.85,1.0,0.8
26,2,-0.03176,1.0,0.25856,-0.4,-0.48288,0.7,0.88536,0.7
27,5,-0.1464,0.85,0.0732,-0.6,1.0,0.75,0.77072,0.6
28,4,-0.26104,0.7,-0.11216,1.0,0.81464,0.6,0.65608,0.5
29,1,1.0,0.55,-0.29752,0.8,0.62928,0.45,0.54144,0.4
30,3,0.88536,0.4,1.0,0.6,0.44392,0.3,0.4268,0.3
31,,0.77072,0.25,0.81464,0.4,0.25856,0.15,0.31216,0.2
32,,0.65608,0.1,0.62928,0.2,0.0732,0.0,0.19752,0.1
33,,0.54144,-0.05,0.44392,0.0,-0.11216,-0.15,0.08288,0.0
34,6,0.4268,-0.2,0.25856,-0.2,-0.29752,1.0,-0.03176,-0.1
35,5,0.31216,-0.35,0.0732,-0.4,1.0,1.0,-0.1464,-0.2
36,4,0.19752,-0.5,-0.11216,1.0,0.81464,0.85,-0.26104,-0.3
37,2,0.08288,1.0,-0.29752,0.8,0.62928,0.7,-0.37568,-0.4
38,8,-0.03176,0.85,-0.48288,0.6,0.44392,0.55,-0.49032,1.0
39,7,-0.1464,0.7,-0.66824,0.4,0.25856,0.4,1.0,0.9
40,3,-0.26104,0.55,1.0,0.2,0.0732,0.25,0.88536,0.8
41,1,1.0,0.4,0.81464,0.0,-0.11216,0.1,0.77072,0.7
42,5,0.88536,0.25,0.62928,-0.2,1.0,0.15,0.65608,0.6
43,4,0.77072,0.1,0.44392,1.0,0.81464,0.0,0.54144,0.5
44,,0.65608,-0.05,0.25856,0.8,0.62928,-0.15,0.4268,0.4
45,6,0.54144,-0.2,0.0732,0.6,0.44392,1.0,0.31216,0.3
46,2,0.4268,1.0,-0.11216,0.4,0.25856,0.85,0.19752,0.2
47,3,0.31216,0.85,1.0,0.2,0.0732,0.7,0.08288,0.1
48,,0.19752,0.7,0.81464,0.0,-0.11216,0.55,-0.03176,0.0
49,5,0.08288,0.55,0.62928,-0.2,1.0,0.6,-0.1464,-0.1
50,4,-0.03176,0.4,0.44392,1.0,0.81464,0.45,-0.26104,-0.2
51,7,-0.1464,0.25,0.25856,0.8,0.62928,0.3,1.0,-0.3
52,8,-0.26104,0.1,0.0732,0.6,0.44392,0.15,0.88536,1.0
53,1,1.0,-0.05,-0.11216,0.4,0.25856,0.0,0.77072,0.9
54,3,0.88536,-0.2,1.0,0.2,0.0732,-0.15,0.65608,0.8
55,2,0.77072,1.0,0.81464,0.0,-0.11216,-0.3,0.54144,0.7
56,6,0.65608,0.85,0.62928,-0.2,-0.29752,1.0,0.4268,0.6
57,5,0.54144,0.7,0.44392,-0.4,1.0,1.0,0.31216,0.5
58,4,0.4268,0.55,0.25856,1.0,0.81464,0.85,0.19752,0.4
59,,0.31216,0.4,0.0732,0.8,0.62928,0.7,0.08288,0.3
60,,0.19752,0.25,-0.11216,0.6,0.44392,0.55,-0.03176,0.2
61,3,0.08288,0.1,1.0,0.4,0.25856,0.4,-0.1464,0.1
62,7,-0.03176,-0.05,0.81464,0.2,0.0732,0.25,1.0,0.0
63,2,-0.1464,1.0,0.62928,0.0,-0.11216,0.1,0.88536,-0.1
64,1,1.0,0.85,0.44392,-0.2,-0.29752,-0.05,0.77072,-0.2
65,5,0.88536,0.7,0.25856,-0.4,1.0,0.0,0.65608,-0.3
66,4,0.77072,0.55,0.0732,1.0,0.81464,-0.15,0.54144,-0.4
67,8,0.65608,0.4,-0.11216,0.8,0.62928,-0.3,0.4268,1.0
68,6,0.54144,0.25,-0.29752,0.6,0.44392,1.0,0.31216,0.9
69,3,0.4268,0.1,1.0,0.4,0.25856,0.85,0.19752,0.8
70,,0.31216,-0.05,0.81464,0.2,0.0732,0.7,0.08288,0.7
71,2,0.19752,1.0,0.62928,0.0,-0.11216,0.55,-0.03176,0.6
72,5,0.08288,0.85,0.44392,-0.2,1.0,0.6,-0.1464,0.5
73,4,-0.03176,0.7,0.25856,1.0,0.81464,0.45,-0.26104,0.4
74,7,-0.1464,0.55,0.0732,0.8,0.62928,0.3,1.0,0.3
75,1,1.0,0.4,-0.11216,0.6,0.44392,0.15,0.88536,0.2
76,3,0.88536,0.25,1.0,0.4,0.25856,0.0,0.77072,0.1
77,,0.77072,0.1,0.81464,0.2,0.0732,-0.15,0.65608,0.0
78,6,0.65608,-0.05,0.62928,0.0,-0.11216,1.0,0.54144,-0.1
